﻿孙铁宗,﻿天津化工研究院503组
﻿蒋丽生,﻿化工部第六设计院
﻿周本省,﻿南京化工学院
﻿陈建华,﻿南京化工学院
﻿陆建英,﻿南京化工学院
﻿林丰,
﻿徐寿昌,﻿华东化工学院
﻿赵文波,﻿电子工业部第十设计研究院
﻿严霜,﻿宝钢总厂能源部
﻿辛世崇,﻿吉林化工学院
﻿韩林安,﻿无锡锅炉检验所
﻿刘炳炎,﻿天津碱厂
﻿刘魁元,
﻿项成林,﻿上海吴泾化工厂
﻿李湘霖,﻿柳州化肥厂
﻿郭容修,
﻿唐同庆,﻿武汉石油化工厂
﻿徐寿昌,﻿华东化工学院
﻿许学文,﻿华东化工学院
﻿高庆丰,﻿北京前进化工厂
﻿赵金福,﻿天津环境保护科学研究所
﻿苏华青,﻿天津环境保护科学研究所
﻿孙庆麟,"﻿
2. 北京铁路局南口机务段"
﻿施成和,"﻿
2. 北京铁路局南口机务段"
﻿王志忠,﻿北京工业大学
﻿高以烜,﻿北京工业大学
﻿凌爱莲,﻿北京工业大学
﻿龙荷云,﻿南京化工学院
﻿谢舜韶,﻿南京化工学院
﻿田瑞齐,﻿天津化工研究院十室
﻿陈子涛,﻿南京大学
﻿马玉,﻿国家劳动人事部
﻿孙铁宗,﻿天津化工研究院
﻿阎家华,﻿天津化工研究院
﻿施军山,﻿天津化工研究院
﻿方燕萍,﻿天津化工研究院
﻿霍健彭,﻿天津化工研究院
﻿张绪清,﻿天津化工研究院
﻿张爽,﻿天津化工研究院
﻿庄云龙,﻿上海工业大学分析化学教研室
﻿漆德瑶,﻿上海工业大学分析化学教研室
﻿刘中厚,
﻿刘伯群,﻿鹰潭肉联加工厂
﻿李皓景,﻿鹰潭肉联加工厂
﻿乔同欣,﻿山东新华制药厂
﻿张思颖,﻿勉县海红轴承厂
﻿牛新平,﻿河北平山县化肥厂
﻿王景芳,﻿河北平山县化肥厂
﻿张理中,﻿金华市染整厂
﻿李文融,
﻿曾坚,﻿天津化工研究院
﻿聂世凯,﻿化工部天津化工研究院
﻿李毓芬,﻿化工部天津化工研究院
﻿王大中,﻿北京钢铁设计研究总院
﻿季明德,﻿江西大学化学系
﻿赵勇,﻿江西大学化学系
﻿黄桂文,﻿江西大学化学系
﻿孙龙生,﻿江西大学化学系
﻿申立贤,﻿北京市环境保护研究所
﻿孔繁贵,﻿武钢供水厂
﻿丁元海,﻿石家庄热电厂
﻿王玉清,﻿天津第一棉纺织厂
﻿薛允连,﻿沈阳市辽中化工厂
﻿刘兴中,
﻿李建德,﻿青岛化工学院 青岛化工学院
﻿冯承蟠,﻿青岛化工学院 青岛化工学院
﻿李瑞义,﻿青岛化工学院 青岛化工学院
﻿张美娟,﻿青岛化工学院 青岛化工学院
﻿马松林,
﻿刘祖贻,﻿江阴化工一厂
﻿陈俊峰,﻿乌鲁木齐市水处理技术服务部
﻿王富,
﻿张绍谦,
﻿陈德康,﻿上海石化总厂化工二厂
﻿陶祖良,﻿江苏省睢宁县供电局
﻿张思颖,﻿海红轴承厂
﻿曾昭琪,"﻿
2. 上海水产学院养殖系"
﻿张小平,"﻿
2. 上海水产学院养殖系"
﻿董士平,"﻿
2. 江苏省卫生防疫站"
﻿熊剑娟,"﻿
2. 江苏省卫生防疫站"
﻿龚效忠,"﻿
2. 江苏省卫生防疫站"
﻿黄杰,"﻿
2. 江苏省卫生防疫站"
﻿沈蓉,"﻿
2. 江苏省卫生防疫站"
﻿夏秀华,"﻿
2. 江苏省卫生防疫站"
﻿冯静仪,"﻿
2. 江苏省卫生防疫站"
﻿吴金龙,"﻿
2. 江苏省卫生防疫站"
﻿杨杏珍,﻿湖南长岭炼油设备研究所
﻿彭崇智,﻿南京化工学院
﻿朱法祥,﻿南京化工学院
﻿李仲三,﻿清华大学核能技术研究所
﻿张光文,﻿上海工业大学环化教研组
﻿邱慧琴,﻿上海工业大学环化教研组
﻿何建铭,﻿上海工业大学环化教研组
﻿杜启云,﻿天津纺织工学院
﻿王冰,﻿天津纺织工学院
﻿杨溥臣,﻿天津纺织工学院
﻿洪守杰,﻿河北矿冶学院化工系
﻿高桂珍,﻿河北矿冶学院化工系
﻿王丽娟,﻿辽河化肥厂
﻿潘祖华,﻿吉化公司研究院
﻿全顺子,﻿吉化公司研究院
﻿吴杰,﻿电子工业部一四四四所
﻿刘立人,﻿湖北省松木坪电厂
﻿桂菊枝,﻿湖北省松木坪电厂
﻿肖创英,﻿湖北省松木坪电厂
﻿孔繁贵,﻿武钢供水厂
﻿李治森,﻿莱芜钢铁厂环保科
﻿包义华,﻿化工部第三设计院
﻿秦观月,﻿齐鲁橡胶厂
﻿鲍其鼐,﻿安庆石化总厂研究院
﻿阴和平,﻿沈阳化工研究院
﻿汪祖模,"﻿
2. 环境工程研究所"
﻿徐寿昌,"﻿
2. 环境工程研究所"
﻿邵刚,﻿冶金部建筑研究总院环保所
﻿张仲燕,"﻿
2. 上海工业大学"
﻿郑芳元,"﻿
2. 上海工业大学"
﻿尤隆渤,"﻿
2. 大连工学院"
﻿郭树才,"﻿
2. 大连工学院"
﻿王恩善,﻿89710部队
﻿张益民,﻿北京石化公司胜利化工厂
﻿黎德风,﻿西北电力试验研究所
﻿马延岭,﻿天津第四半导体器件厂
﻿韩兴华,﻿沧州炼油厂
﻿田园,﻿浙江省永康溶剂厂
